division,Subdivision count,Mean,Head_Count,Poverty_Gap,Gini
Bamboutos,4,116347.7151,0.505233675,0.161915498,0.253852879
BoumbaetNgoko,4,111230.0428,0.50647503,0.177742208,0.221703403
Boyo,4,129902.6906,0.429021486,0.158298297,0.21357566
Bui,6,131454.7055,0.389520917,0.122311494,0.207549154
Bénoué,12,94496.50938,0.65217599,0.281093357,0.241223719
Diamaré,9,90417.75611,0.706879166,0.295295749,0.198609596
DjaetLobo,8,126195.5232,0.429470431,0.127452591,0.224911752
Djerem,2,128239.3582,0.344030437,0.124770709,0.287218136
DongaMantung,5,71283.49375,0.796970648,0.279748688,0.183327935
Fako,7,193082.0965,0.234417716,0.088953222,0.201243532
Faro,3,79692.81748,0.73983694,0.333327364,0.224770286
FaroetDéo,3,98170.27072,0.618112522,0.209057609,0.229117415
HautNkam,7,149506.4792,0.305928488,0.102077,0.21473917
HautNyong,14,112312.4714,0.541406345,0.171986425,0.211572529
HauteSanaga,7,134255.4882,0.421195948,0.140536357,0.213238987
HautsPlateaux,4,139269.9562,0.326567902,0.102632324,0.235136002
Kadey,7,103744.4008,0.58093694,0.196848714,0.207600184
KoungKhi,4,140085.6659,0.344521509,0.106481762,0.242034685
KoupéManengouba,3,131182.3206,0.41294912,0.156117715,0.213753976
Lebialem,3,130691.9558,0.418330486,0.15671975,0.213603138
Lekié,9,132315.3671,0.365868704,0.112961926,0.24054359
LogoneetChari,9,92796.54127,0.682918218,0.24634322,0.19615259
LometDjerem,8,118385.4846,0.517623346,0.184016401,0.236595824
Manyu,4,130752.9214,0.418298891,0.156798213,0.213771474
MayoBanyo,3,98452.81001,0.600605374,0.22413556,0.290645966
MayoDanay,12,83782.8554,0.737028605,0.3488893,-0.045692022
MayoKani,6,100398.2947,0.619906675,0.276466293,0.200931268
MayoLouti,3,69936.18373,0.816216851,0.368843311,0.275802015
MayoRey,4,67444.9857,0.811786871,0.383117911,0.272548832
MayoSava,3,56795.80439,0.914540475,0.402998662,0.211655612
MayoTsanaga,7,98498.6719,0.647570008,0.23691448,0.219679468
MbametInoubou,9,130495.6752,0.418281914,0.13243368,0.209775808
MbametKim,5,128365.8461,0.404580808,0.131595973,0.221500055
Mbéré,3,93780.59563,0.670115729,0.308929027,0.248896285
MefouetAfamba,8,149127.7724,0.327294339,0.107885252,0.212122176
MefouetAkono,4,120944.8181,0.41488979,0.124997353,0.220001037
Meme,5,156021.6377,0.328191569,0.124625565,0.207170621
Menchum,4,129928.0619,0.428230185,0.158363787,0.213489072
Menoua,6,133752.7701,0.357795317,0.098013921,0.224832158
Mezam,7,157520.4609,0.322648714,0.11737323,0.226136599
Mfoundi,7,248211.8985,0.066180725,0.023185337,0.206311588
Mifi,3,148574.2742,0.359609677,0.110528903,0.2176472
Momo,5,130502.5371,0.421326565,0.157030277,0.213730347
Moungo,13,155778.7725,0.227250977,0.072154473,0.219693309
Mvila,8,145926.2479,0.356451328,0.114431109,0.236259682
Ndian,9,131333.866,0.411942517,0.15605483,0.213330757
Ndé,4,153675.1916,0.272294337,0.089732537,0.214970903
NgoKetunjia,3,123079.0905,0.447757077,0.137388231,0.263948687
Nkam,5,126232.8811,0.416914618,0.133562181,0.206209442
Noun,9,143782.1713,0.339315069,0.112139611,0.246684062
NyongetKéllé,10,149902.6727,0.32165619,0.111959961,0.217761174
NyongetMfoumou,5,120870.2683,0.487178642,0.166881123,0.254982778
NyongetSo'o,6,148352.9772,0.386921344,0.129610877,0.213899324
Océan,9,175007.1562,0.25758996,0.087340542,0.199931211
SanagaMaritime,12,145702.6999,0.299960213,0.094404841,0.216512472
ValléeduNtem,4,128691.4159,0.428697227,0.119461741,0.254533821
Vina,8,113206.1721,0.520791772,0.182265182,0.21511584
Wouri,5,277982.2868,0.006828236,0.001129119,0.196056385
