"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"1","Bamboutos",142896.807418733,0.351621758043418,0.090629587555986,0.338759828540564,5.35502118086458,58030.1913629861,77853.5536746525,110376.367159362,176743.126738991,274991.780725252
"2","Bénoué",95429.823351033,0.623412003315524,0.280787962173542,0.38844628285076,6.577728971499,33607.855890017,42872.3543456228,63700.2986260269,133604.179291358,198733.732583036
"3","BoumbaetNgoko",108065.768659153,0.535260781486213,0.193726650798372,0.333891424268106,5.03836925400889,44599.7929002227,55115.3661964015,81443.4103336097,147099.753946515,201810.576424969
"4","Bui",133622.766795923,0.384593481879012,0.120805538678976,0.316850942804035,5.04230405811192,51311.7692355851,67732.3060218797,118397.242959427,180499.913263581,235344.986630916
"5","Diamaré",99831.261698184,0.640570554653052,0.25689919707582,0.382239700828248,6.06379481677622,39186.2879518265,48077.1013210757,65643.8629593139,129865.504895772,206651.034735013
"6","DjaetLobo",159452.1540168,0.31188478289959,0.0802745008346434,0.332343244856713,5.39185509275191,60311.3816501586,80246.3732894963,132343.90055714,215637.813013154,296734.787760877
"7","Djerem",127639.172159368,0.343692328209993,0.123284946488771,0.294167367522539,5.00734631280641,46755.9703758349,70175.4283121572,123075.668514152,169310.04339149,213678.097486805
"8","DongaMantung",71521.4095247404,0.805215025549138,0.282310372879593,0.230267752194652,3.06895024409661,41447.0100351177,50072.7032034203,62799.5706824902,82354.8521380255,112550.57874052
"9","Fako",279076.57347525,0.00350054845464627,0.000336603508379596,0.190391863602562,2.64030199762291,167286.390640704,210649.756590562,266771.108737468,333918.335059396,405927.731594634
"10","Faro",62014.5827949879,0.825826093905442,0.375221529047273,0.282067241157679,3.95730436451847,30497.3321131779,37805.7317631793,51452.4994300097,76605.3563374938,108355.285523426
"11","FaroetDéo",91681.1369980723,0.629586787022378,0.202234880258189,0.280257428644625,3.91926792341196,46056.4133601095,56463.0745832392,75075.9173832318,112948.420266791,165413.345604525
"12","HauteSanaga",149079.430988382,0.349780640140564,0.100937308043416,0.325417721767805,5.29855234396285,55490.8903421569,73636.5284679669,129291.472915928,206108.641070609,271215.089833868
"13","HautNkam",183352.341225434,0.112729841100133,0.0201608499687988,0.246658272486555,3.60844506230934,87487.5690919364,119172.962249221,173114.561007922,232040.741089231,291884.923695553
"14","HautNyong",105412.944184774,0.582215096586666,0.154592467922227,0.300844473575381,4.17848062984221,52985.3161050815,63904.0108961285,81905.5162647697,120596.91219907,196146.274915228
"15","HautsPlateaux",150041.6577942,0.217447013329131,0.0438523206132221,0.257129728468249,3.68481885436007,73059.6569397697,95127.020752508,134704.847685834,190917.591312961,249274.747237394
"16","Kadey",106284.590016719,0.581595195917015,0.184985678126006,0.333974684874896,4.9641503200244,46769.8518022252,58106.4118817094,79326.3813173975,131237.191863073,211087.60107307
"17","KoungKhi",142655.854231447,0.26125475926296,0.0534023371039975,0.273032502057949,3.94037895306112,69705.2837876466,90071.6468682261,122816.690583096,171965.619283168,247869.485250904
"18","Lekié",139037.219669223,0.312978048257899,0.0743414263620305,0.292350394039563,4.31692464142502,62423.344262177,82333.3561642788,118115.263123316,177589.526413224,244381.217945518
"19","LogoneetChari",75168.5931741646,0.759250775986898,0.296626575286825,0.291895689326721,4.05690908582445,37284.5725339025,45689.1678241799,60772.8236988266,88509.9789586832,133101.063782859
"20","LometDjerem",164370.408811457,0.336821479121339,0.110383211690623,0.351479136058638,6.50448626394376,51516.2751875091,71583.4257889438,148160.282217104,229384.018210579,306939.830956646
"21","MayoBanyo",90321.4893061299,0.655757100152895,0.254283652702252,0.336374508712789,5.10928659200168,38381.0953262989,48095.2578418415,68012.8454263901,114736.922940475,182043.774585716
"22","MayoDanay",50605.1947457054,0.897268492437072,0.506352945052155,0.32481127635935,4.53510331610809,25090.4974519013,30282.2674667538,38168.4486919719,51289.915684942,92250.2750981688
"23","MayoKani",62224.5292776915,0.826717999819294,0.438277636679794,0.355257202476654,5.25262960389511,28951.3916724802,34499.1171370214,43032.330901334,61734.312419836,136902.649893955
"24","MayoLouti",80662.7566074069,0.751556642957007,0.316756804594733,0.355271368926631,5.4332415824456,34639.5437357818,43406.4826589939,58078.4209953017,89680.0666833057,166511.633223526
