"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"1","Bamboutos",54644469.6296348,0.00215420611281707,0.000385250049677837,0.000150878804921006,0.103603724682069,11583506.2422133,18877919.6586619,41311881.8237348,117906092.366876,488314757.340779
"2","Bénoué",7931191.81925707,0.00014781250083056,8.94942814735634e-05,5.35438511697828e-05,0.0783080266427833,2158886.011813,2834730.25370148,6573504.27515908,26513658.976445,72366136.5008609
"3","BoumbaetNgoko",50491510.5854695,0.000785481430524336,0.00044918943732523,0.000151934992907372,0.0899842663136094,10423934.8233446,14888627.079169,46292635.9230362,126095399.194382,330022114.312156
"4","Bui",56721856.1754662,0.000734188771919144,0.000203782770433599,0.000104253630285845,0.0804316803377092,13617333.4090145,17358589.3320049,59650263.2502346,139977422.059774,293220443.442766
"5","Diamaré",16650811.6924472,0.000326330384971088,0.000219325674489244,8.22965257185465e-05,0.0735942299388694,4579201.85475037,4730046.4518625,10020717.1947857,50127305.4514469,136707450.704414
"6","DjaetLobo",41100082.1728347,0.000666308852175937,0.000110502953151707,7.76086902428548e-05,0.0569529858607962,7530176.51475909,12972067.5722171,41263519.1268365,118519254.724851,258100615.601745
"7","Djerem",57495824.1423868,0.000788546274805438,0.000146255660598163,0.000144854104937226,0.0940852911275596,8557150.5630712,20419235.5184193,77283587.9941624,150650942.891798,302504667.002825
"8","DongaMantung",12019708.4692414,0.00118451684412413,0.000621112694942856,0.000112752265200634,0.0248169839904941,6787192.61211352,7433226.64510723,10708034.9286334,24661598.4254278,44489962.6752787
"9","Fako",164689514.865493,2.34617340589758e-05,6.97757487695731e-07,9.07211566781992e-05,0.0154186377196395,89679557.7880421,105521194.497368,167237490.11317,310959372.542275,589183924.90307
"10","Faro",20867955.7705809,0.00166927205388771,0.000913376586031324,0.000236703400724215,0.0758427201697605,8119491.52375268,11789800.8252014,19798202.7628136,48392481.9398767,113071376.538079
"11","FaroetDéo",20250479.3411196,0.00181142042397283,0.000620360494224894,0.000188638322566368,0.0694267088998273,11750500.3365528,13234256.7089415,21546905.3074697,63110800.884121,132620393.659358
