"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"1","Adamaoua",121569.893679431,0.462135484189276,0.167820945220882,0.350819400477026,5.97707552045,42843.0277690249,58123.1950781924,98523.0696777758,165793.214448116,231831.558097802
"2","Centre",224116.758765734,0.135633907949684,0.0349981270189244,0.292078502935548,5.15076940550698,77630.1218555793,134161.037247699,212130.384692935,293040.195595966,379638.210146736
"3","Est",139125.816860011,0.444451053257403,0.137071406942562,0.364058796818304,6.03157450643065,50342.9378571109,64716.9075094484,103057.037703247,193733.299363365,274841.898305034
"4","Extrême-Nord",70718.6712434216,0.790806116144728,0.352832472982344,0.328863699982606,4.75754932014261,32795.4053952658,40434.8907964633,53204.4109714851,80512.4785082776,136521.276011184
"5","Littoral",247003.60967766,0.0430286242239944,0.010105975573611,0.232915024040956,3.43632020271048,124466.101186693,174977.697970636,234497.848979281,305332.958725256,384085.096417847
"6","Nord",81045.6305626492,0.715800141998749,0.327865170582971,0.374028464580968,5.97486907052088,31935.6030446839,40315.9835581968,55769.751942318,101530.964182985,169766.53570154
"7","Nord-Ouest",144315.590645851,0.405971708215039,0.128457331970832,0.360156416752571,6.16257047694574,50098.1316850432,66332.6360402703,114803.619901213,198010.850847632,279465.448903255
"8","Ouest",167601.98215171,0.237257147947413,0.0602518596899584,0.308577676583229,4.98483996819788,65102.1547264455,92404.6669809752,148472.587216795,221710.584318122,295638.187814855
"9","Sud",191124.656222572,0.211607678809954,0.050945675300088,0.322139230631689,5.49722694916527,68116.4910879773,99061.2851935008,170142.05413575,254215.972571142,344507.004095278
"10","Sud-Ouest",271133.584384086,0.00294867953406575,0.000309234329715108,0.191590169312339,2.63144266126737,163653.520156956,202648.151995074,256760.593321614,325299.168157312,396855.290506409
