"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"1","Adamaoua",9323690.18009203,0.000187092299770128,5.46092391677085e-05,3.167620670725e-05,0.0329458782200877,2131366.76191161,3460627.26819071,9332438.08576341,23737259.4081078,74915886.1711596
"2","Centre",9891111.93615567,3.34069810721275e-05,4.8887651712302e-06,2.64652656397652e-05,0.0209710506339624,2739616.62757182,7177401.31139976,12154619.139939,24665387.7957918,67615130.9142759
"3","Est",11467928.2309332,0.00015588246020626,5.76627236164793e-05,3.59494678971874e-05,0.0357280415030231,1773118.42274025,2633161.27101424,8143212.49321043,32751705.713464,94404147.2436157
"4","Extrême-Nord",3399200.74909644,0.000140334129756142,8.96105536655044e-05,3.53378492359463e-05,0.0189404064864109,1239129.94743888,1457271.751878,2273742.55391298,6361224.86849174,27475666.9624771
"5","Littoral",15367765.6527336,1.48958812769511e-05,9.57223572128902e-07,2.63791452301142e-05,0.00812096237381891,7793373.4816905,11344166.7946436,16808219.1762794,35280672.3637865,76105723.7547962
"6","Nord",4719708.42170101,0.00011764464349127,8.75627828866168e-05,4.27643534341582e-05,0.0419910613537754,1359465.07338718,1602491.65198259,3102811.89513214,10236833.9407696,42426408.048848
"7","Nord-Ouest",16620520.4131146,0.000237048591082267,7.00367564347866e-05,3.94879687403846e-05,0.0398648547297729,3703505.24603113,5561462.10842183,17233225.4378485,44205560.534984,106775491.418188
"8","Ouest",10174537.6498921,0.000158092773900392,2.29994461288709e-05,2.57696132115823e-05,0.0183434605768087,3012002.78784029,4562948.5935569,10124873.3323278,25873351.5088012,71802628.8236965
"9","Sud",17690852.0139828,0.000154296572736701,3.02129910858472e-05,4.63187513151015e-05,0.0383015751965321,3939111.45824219,7160826.8026156,18359724.8384678,42425118.8446423,137629874.915984
"10","Sud-Ouest",107375958.678977,1.32360844069257e-05,2.68357801203456e-07,6.11765465789216e-05,0.010467158160702,57160719.5818811,66838398.1693601,106157784.54846,191940173.291145,348785386.048503
