"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"1","AbongMbang",140700.241423041,0.396968078358623,0.111211870909936,0.323970344114219,4.98663308306136,55558.2525564525,69948.6348217152,114813.808441848,194249.800353555,260886.121935184
"2","Ako",50397.2937467293,0.988214285714286,0.442217853779154,0.145611639553214,2.09229654449895,33955.7835028797,40526.5900098013,49027.2212004072,58558.7645166168,69421.2376215646
"3","Akoéman",94000.4082906077,0.603148148148148,0.144997074334323,0.219184776556509,2.93192088315993,55605.6638611642,66358.864297052,82341.7582545139,108651.640400278,155422.014947618
"4","Akono",103812.461397119,0.494230769230769,0.114129635998463,0.23720031147346,3.168425959944,58142.7674746967,71659.7108250392,90979.5111034097,116775.134923115,170331.626489945
"5","Akonolinga",119162.189947116,0.524777819235367,0.186614919355674,0.357673134248329,5.54825037801506,46225.3776127509,56448.0796029868,84802.8213393714,167490.042032234,229702.185199014
"6","Ambam",158263.548583582,0.327480741264739,0.0800135316909362,0.334885579937439,5.25442124957711,61600.6612482209,78199.5614087914,123982.917607875,213793.487827399,297004.860521884
"7","Assamba",85892.1930266119,0.661428571428571,0.179176273217202,0.206345252838827,2.80481000604178,51563.0321568137,62179.3345111207,76752.12888005,99718.1444472907,140787.457465301
"8","Atok",73194.7977474056,0.8175,0.225727047570237,0.145871494903765,2.0901695589892,50456.5555308786,58975.2671788349,69941.3503027309,83346.6327790731,101674.217346625
"9","Babadjou",120030.183669791,0.384642857142857,0.0955934620900416,0.257699437279774,3.71178195996814,57323.5587132076,76939.8064647277,106045.772573472,153199.441858985,210390.980505488
"10","Bafang",187357.586141985,0.0806175734479647,0.0135225893339237,0.22720607871096,3.24651136712731,96348.5907836012,130400.227977156,177884.1577589,231596.967984762,292251.472515542
"11","Bafia",240310.101873367,0.00446428571428571,0.000265612523112994,0.217875122457368,2.97726646709714,138429.919909654,169055.638928603,215324.265267212,283932.762896551,397365.744435881
"12","Bafoussam1",225043.724415432,0.0348131864965031,0.00597143384207725,0.2121134605938,3.00640277014631,125151.0993826,166650.743765534,212357.389078882,268326.441444092,339786.483159319
"13","Bafoussam3",90242.1915440213,0.622142857142857,0.168582101155871,0.22695637966978,3.11477770694985,50889.6981078439,63862.114639422,79998.2833579096,104347.414310851,142699.217229283
"14","Balikumbat",96844.6192210803,0.569464285714286,0.167334741113196,0.259224556588221,3.6262753157972,49069.9989345965,61630.298614629,82546.1039032593,120805.329460216,175034.164287561
"15","Bamenda2",227327.105344401,0.0518834808930828,0.0096308695755289,0.240408069644697,3.54905499654521,109948.241934612,156761.522962069,214376.487007736,281925.723037643,358468.025746397
"16","Bamendjou",153233.276563682,0.200178571428571,0.0427551569964186,0.253533809827271,3.7029328614387,71237.1550103964,99576.0906639868,138847.692601981,193428.483032354,256833.672195413
"17","Bandja",114643.368008587,0.381785714285714,0.0733667156279959,0.229381645192116,3.13564165691534,65482.9387346571,79723.9919841552,100668.175714743,130087.233388536,187776.935871836
"18","Bandjoun",130089.346633336,0.244285714285714,0.047592215008996,0.208866104115154,2.91975263504934,71132.6123902764,93246.392463717,121849.753306394,160835.171319196,202606.878131556
"19","Bangangté",219514.580266478,0.03875,0.00443527046161295,0.220956507135166,3.15857739734654,109138.52419858,150433.099883868,210526.041830943,278688.919423487,345881.36038936
"20","Bangou",142704.030578173,0.268269230769231,0.0538648293769057,0.259474630076754,3.59561506392795,69725.9802677707,89070.8204627264,126223.039167959,182742.026906956,245009.404724627
"21","Bankim",68806.5740967304,0.814782643604514,0.321931880085508,0.258969906544913,3.49562111683559,37909.6786309405,44863.2667117557,57040.3622210286,78781.0723022393,115346.791812718
"22","Banyo",88055.0319574693,0.661648862535588,0.268304719308013,0.336532301231474,5.07804805698636,37417.2421604708,46396.8812995188,64907.4308332601,116273.091207396,178893.793234137
"23","Bardanké",174982.480171848,0.17161976717899,0.0478605390677601,0.27280032546262,4.42772180564017,70616.6164253788,111024.868185473,165518.433375604,222022.602761132,288139.108474919
"24","Batcham",92220.9672635661,0.567031643922554,0.158551285552534,0.232620303526964,3.24748453362162,48475.7151770323,63216.2029522601,84806.9810870749,109200.95712118,140780.561935584
"25","Batouri",166831.673144244,0.300230591649278,0.092159418637348,0.318897232484194,5.63691510971804,56628.6907971999,78116.7381262731,160629.634139865,228157.133382707,292356.34113254
"26","Bazou",134045.09554202,0.212327168298573,0.0412528079004573,0.212412815646442,2.92534986703807,74854.6191607733,95033.0909050522,126005.399062123,165668.337289491,205327.594303028
"27","Béka",69958.0459108801,0.752433931204406,0.317916037562711,0.283187591405015,4.06758045068332,32982.6058989375,42134.1909490453,59039.4187746746,89479.7864599215,123409.703801988
"28","Bélabo",116621.639897602,0.498906551664038,0.171898021111953,0.337614360773477,5.19937384781719,46561.8310663652,58338.6404341221,90897.9361586878,160204.670478053,214785.388162003
"29","Belel",124989.115720804,0.273148148148148,0.0572258258257358,0.21249135817756,2.93214194558904,68717.4510025968,87838.0760413415,117031.88244293,154461.020189161,194320.572672796
"30","Bengbis",125812.748353665,0.466582314868476,0.138930835362586,0.328095403848477,4.86329298079913,52578.8303275748,63766.6214881238,97272.7766048719,167113.795135338,238013.442132032
"31","Bertoua1",234930.494493493,0.0884041521121456,0.0235460979506905,0.244508642870925,3.89858695242585,99904.4331703878,169154.655994149,226131.44794461,292676.931788614,369611.072272603
"32","BétaréOya",61050.8275519018,0.8815,0.347412162374009,0.19090842004725,2.6029663368942,37272.0176860695,45237.687731259,56336.2828999624,72697.8366942102,93373.3470908969
"33","Bibémi",62677.7321487684,0.827975282425708,0.381286363404778,0.288544899049836,4.01311013704544,31754.0117937892,38743.0571431022,50220.2355449699,73399.9325237952,112146.406449791
"34","Blangoua",82881.8548197903,0.675892857142857,0.185025159531656,0.196298843461986,2.66686885648622,50010.7464550565,60227.1187630363,76479.1738776925,97757.0539793847,125580.70231645
"35","Bogo",128321.649647846,0.341071428571429,0.0841927704824427,0.265394433423467,3.86494092359084,59696.171435831,78799.5132779388,114178.543040365,162847.39300133,224879.033054968
"36","Bokito",82010.818576929,0.70625,0.209818407894846,0.21683463036053,2.93258643424666,48365.7528996113,57973.2244530241,72135.4381955191,95561.6761813726,135620.146527256
