"","Domain","Mean","Head_Count","Poverty_Gap","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90"
"1","AbongMbang",80600120.7923882,0.00164332072514744,0.000503534299097978,0.000235700942199914,0.154095977072747,22998211.3489398,33625560.8472267,111455598.237468,214560658.006557,605680246.071097
"2","Ako",21131795.0350035,0.00119211989795918,0.00242935907864942,0.000377166749731145,0.0435569181737196,15972345.8836319,18356962.892515,24015979.3034,38018368.1291271,55868247.8121504
"3","Akoéman",55359906.9652984,0.00686198936899863,0.00249121071540894,0.000668738432684718,0.129058348623749,28885513.9276043,33728752.583734,57436696.0095923,115910515.328578,438418916.259922
"4","Akono",86461963.6138995,0.0109072074704142,0.00149482059345362,0.000615896513741917,0.137099193268985,34409947.1529687,46903960.87964,76151321.7325236,153651105.077713,593361804.743538
"5","Akonolinga",93820847.1181765,0.00173920130920526,0.000757337011266427,0.000225271338713554,0.199283924534735,21042273.1155836,29544941.9866802,83212450.5660904,280927515.559277,601325467.031741
"6","Ambam",116033243.778335,0.00263587539558417,0.000556699673633393,0.000274731561896462,0.216554198082125,24182659.5509567,39143164.0504516,98081399.6417685,325220387.813513,579603593.933143
"7","Assamba",63144143.2475374,0.00792078220663265,0.00245085331888482,0.000557225825585196,0.0993427744286071,31263035.932875,35898561.0489945,55378455.2014236,131432723.059942,320890267.158976
"8","Atok",57225889.7786559,0.0100699180484694,0.0044927453694877,0.000423600586103685,0.0439776299921431,36869906.0473721,43595314.671283,61827777.4628323,90838907.0302814,144325171.073598
"9","Babadjou",151278649.0459,0.00946644419642857,0.00190612490570442,0.000572343223242232,0.18824474608062,57584276.2827412,77969208.3181131,144167034.493798,349054475.191075,728974103.021812
"10","Bafang",114331133.882022,0.000674060091343171,3.1539545551179e-05,0.000187881012618338,0.0584760831379625,55540110.0441681,87854694.1290524,145087564.667074,224588409.308799,543869036.681749
"11","Bafia",510698011.792808,0.000218533322704082,2.42725919476893e-06,0.000684814582013571,0.146723548608633,272127484.613219,311777280.009638,509574962.495573,964884028.831165,3077955612.57178
"12","Bafoussam1",91881515.864037,0.000100028272981998,6.19886408452099e-06,0.000111182451702077,0.0242132917982861,61929617.9488603,67846635.3618097,113806584.711916,167382658.621198,432201094.306249
"13","Bafoussam3",94800807.8031458,0.0113496575255102,0.00340974869238887,0.000569912773342464,0.130371508186589,41500898.2624897,47646666.4210256,87695083.3333572,155306400.531234,407517866.074396
"14","Balikumbat",80036563.1667463,0.00638453954081633,0.00161158341458014,0.000699105386477336,0.238491490585771,35383122.8645307,42333025.7124669,73637409.5095918,194622463.097018,558021753.17065
"15","Bamenda2",103764495.166452,0.0002307797764753,1.34951870106852e-05,8.63744571903493e-05,0.0313950034116058,55741745.7709019,76672372.0374965,109573227.214036,205181533.382191,394293111.070538
"16","Bamendjou",176720989.796508,0.00477264349489796,0.000435481497954779,0.000429271666052722,0.175589478872447,81321166.8304312,93989871.2463562,217275310.62042,358552870.325992,978895553.233795
"17","Bandja",81420922.7542046,0.0102809059311224,0.000825181653759917,0.000684028599508551,0.150411510429387,51315230.7771933,53338033.4939431,76776111.3408261,159686321.626064,627286793.963996
"18","Bandjoun",184955184.860105,0.00729305436862245,0.000463570832314923,0.000423332922463861,0.109985348421437,115256773.886012,119704622.546349,199443858.065073,357637582.121937,834756290.079319
"19","Bangangté",530608981.704763,0.00124714524872449,3.77694578252623e-05,0.000400555422235343,0.12701240687705,268334127.629271,311683918.409293,603364639.993191,1243438356.81904,2290752395.5407
"20","Bangou",223932043.543183,0.00784061076183432,0.000516447330574887,0.000542831563874781,0.164467142220282,87984922.0369831,127165768.348752,252794030.459888,472573466.790888,1362469954.40118
"21","Bankim",21881849.4236411,0.00173151086657316,0.00108831873518305,0.000400509462876253,0.10267787513796,10232275.809338,12925953.5093741,17611764.9999554,53226578.9242,173796567.269674
"22","Banyo",37853403.9595496,0.00127789275753626,0.000718574046774311,0.000203734419485955,0.125900252039768,11384280.6780139,14024593.6239527,31961708.3227645,114596928.440809,309926855.975931
"23","Bardanké",68562865.5957246,0.00046545335817135,5.5781670433607e-05,8.60228984207185e-05,0.052534752546817,31080633.1769282,36228147.6732036,80328978.3205658,136508710.759423,315455221.484881
"24","Batcham",57037415.2802911,0.00829621070880364,0.00135747371980633,0.000296794657099477,0.0844313944912894,28514138.0792025,38501254.8419275,51740472.5858746,106582667.201961,197520470.108789
"25","Batouri",82725018.8702012,0.000589548709619038,0.000204671390165609,0.000186138274325186,0.186201943688676,15150615.1102327,29387597.2136912,112791420.620589,236042233.803475,484812984.795575
"26","Bazou",98571072.172658,0.00407790960759169,0.000275817192511503,0.000208938062996176,0.0465036960181226,46527546.8182481,56879493.5486993,93059670.0825966,174946499.12832,376576892.936745
"27","Béka",33321904.3769431,0.0027089787807464,0.0011311838687117,0.00034140015110791,0.14642667395954,13683866.0177112,19078149.3743532,35479734.7164036,76966993.7035622,191615796.121987
"28","Bélabo",122927176.316189,0.002973784131311,0.000735991232180443,0.000210742975023877,0.149026970916479,24068482.4279852,39077632.6727914,133712114.035569,311833796.794191,621997192.321575
"29","Belel",299566960.849881,0.0082085414951989,0.000494533021183253,0.000504670695884596,0.115891096548476,132004506.474209,177400364.196613,296382954.797463,550252538.228671,1228658299.17951
"30","Bengbis",82619106.3827371,0.00144177738130687,0.000590084113372176,0.000286748362738018,0.179053792238417,18722655.4334918,25898553.8945573,81609278.8775679,228517781.983949,555303029.629891
"31","Bertoua1",125021534.110136,0.000136612912580385,2.5173466265662e-05,0.000105624136022616,0.046324634868049,52449020.3085475,81473199.5035454,130244948.788185,251413071.624152,533203490.229595
"32","BétaréOya",79986823.7060697,0.010013464375,0.00528343676055858,0.000948004904726887,0.18731397882476,37975251.9962953,46401446.8214842,78305774.157552,138356396.047359,282774876.539313
"33","Bibémi",24245298.6860911,0.00148655559048452,0.00088813572367213,0.000262433136302699,0.0961954496227039,8487087.28060337,10564336.1284653,18909621.3762517,56799886.9107481,183973251.314782
"34","Blangoua",80475346.8271563,0.0127397053571429,0.00147702647920493,0.000564266234467337,0.100747613990813,48813935.0773138,60853818.1674712,87064365.6426446,145634130.790454,348515419.616822
"35","Bogo",189300691.699737,0.00886685443239796,0.0014812368885031,0.000482320557375252,0.19284516414608,55406759.6844398,86885742.2286061,201094491.523562,406688699.394981,913821711.32978
"36","Bokito",88643672.5021684,0.0100292063137755,0.00320434762348737,0.000611628730934936,0.119143362948651,43718666.6426139,54660273.8193798,78552496.2697333,161844494.675121,442850709.444033
"37","Bonaléa",257375338.627391,0.00170658960459184,0.000103642842320816,0.000386471421897242,0.0721531899724652,194952209.664798,205372501.061805,267025950.308017,439567440.420686,791473680.57828
"38","Bourrah",50870905.3350368,0.00644040651742764,0.00251912369418952,0.00027873879964133,0.0498924844354441,26497124.2969013,33673545.2949858,48973116.5777458,87746138.525112,157579718.816267
"39","Buéa",433928687.694365,4.52498616121037e-05,7.40566015524824e-07,0.000210792971611768,0.0377843985578003,282758218.277876,321321367.362892,458684129.939073,737199401.427175,1380897918.19787
